,Model,Train_RMSE,Train_ME,Train_EV,Train_R2,Train_Slope,Train_Intercept,Test_RMSE,Test_ME,Test_EV,Test_R2,Test_Slope,Test_Intercept
0,RF,934.1524618042329,64.60442418663466,0.7854217317537474,0.7854177388482457,0.7620596855943892,-285.0704308698896,1082.8208760798366,69.63231890076501,0.7058857588988624,0.7053807839737909,0.7436896111746029,-338.43257115426707
1,GB,951.0081264746922,63.113324076474925,0.7764859567506287,0.7764859567506288,0.7161633876192383,-335.548847259731,1070.6856123869522,69.41882681316366,0.71354069220022,0.7132746123952398,0.700344689127957,-377.7530336362091
2,SVM,962.3158284218899,68.14022753239955,0.7705537477237531,0.7703452540371618,0.7521769077397998,-320.0250900334904,1085.3666766439658,68.90960839813283,0.7049847488285211,0.7037021582962211,0.7480063662374334,-357.5720100512208
3,NN,1017.2357586514959,63.37656957568705,0.7398916464350563,0.7387160654405751,0.722423046599416,-265.2265699020761,1095.9890902154868,70.20383801334421,0.6968334090418542,0.6966113847815227,0.7204941732578186,-297.7190352583764
4,LR,1197.0795901620966,65.99739471714585,0.6089864550810469,0.6089864550810469,0.6089864550810483,-462.2523611737172,1247.708385448685,69.35486100322368,0.5770489416861907,0.57696895722214,0.6044835630862105,-473.9876482722574
