,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,2.622842311859131,0.25699314506393633,0.8575967947642008,0.16224395345397907,0.1,2,poly,"{'C': 0.1, 'degree': 2, 'kernel': 'poly'}",-0.15589141999954756,-0.154982722682133,-0.1601662143147075,-0.15701345233212935,0.0022599946596930554,28
1,2.3426708380381265,0.41934685761075857,1.5112897555033367,0.10531022510458271,0.1,2,rbf,"{'C': 0.1, 'degree': 2, 'kernel': 'rbf'}",-0.15608005882289355,-0.1547056227310358,-0.16036817559136915,-0.15705128571509952,0.0024115814287344536,29
2,2.5086851914723716,0.0242589094289057,0.9433936278025309,0.009504550485513135,0.1,2,sigmoid,"{'C': 0.1, 'degree': 2, 'kernel': 'sigmoid'}",-0.18819353648395004,-0.18550689114933058,-0.19302128578812217,-0.18890723780713425,0.003108971843006527,33
3,1.8982470035552979,0.09408766324036305,0.4991327126820882,0.021001565275839892,0.1,3,poly,"{'C': 0.1, 'degree': 3, 'kernel': 'poly'}",-0.14539375254976294,-0.14612166615719901,-0.15092614981172298,-0.14748052283956165,0.0024544820877239926,27
4,1.9799385865529378,0.09749413621168122,1.5767827033996582,0.14684477736939558,0.1,3,rbf,"{'C': 0.1, 'degree': 3, 'kernel': 'rbf'}",-0.15608005882289355,-0.1547056227310358,-0.16036817559136915,-0.15705128571509952,0.0024115814287344536,29
5,3.8746560414632163,0.7541197863899215,1.6322526931762695,0.3794906146108031,0.1,3,sigmoid,"{'C': 0.1, 'degree': 3, 'kernel': 'sigmoid'}",-0.18819353648395004,-0.18550689114933058,-0.19302128578812217,-0.18890723780713425,0.003108971843006527,33
6,3.416892925898234,0.21335027735961543,0.7174978256225586,0.12575979671445586,0.1,4,poly,"{'C': 0.1, 'degree': 4, 'kernel': 'poly'}",-0.1413470971863735,-0.1400810441520885,-0.14652990526598675,-0.14265268220148292,0.002789906401099737,12
7,4.083854913711548,1.012970745633748,2.664977471033732,0.7645675088843398,0.1,4,rbf,"{'C': 0.1, 'degree': 4, 'kernel': 'rbf'}",-0.15608005882289355,-0.1547056227310358,-0.16036817559136915,-0.15705128571509952,0.0024115814287344536,29
8,3.5500775973002114,0.09135661437372923,1.5513896147410076,0.20275204856512752,0.1,4,sigmoid,"{'C': 0.1, 'degree': 4, 'kernel': 'sigmoid'}",-0.18819353648395004,-0.18550689114933058,-0.19302128578812217,-0.18890723780713425,0.003108971843006527,33
9,5.00383981068929,0.026093584231528445,0.7116661071777344,0.16937848796438792,0.1,5,poly,"{'C': 0.1, 'degree': 5, 'kernel': 'poly'}",-0.13981897889540265,-0.14033054089348448,-0.14700602013260738,-0.14238517997383152,0.0032740949639238504,11
10,3.2683979670206704,0.4181562871898582,2.212850491205851,0.3761041857639353,0.1,5,rbf,"{'C': 0.1, 'degree': 5, 'kernel': 'rbf'}",-0.15608005882289355,-0.1547056227310358,-0.16036817559136915,-0.15705128571509952,0.0024115814287344536,29
11,3.7616031964619956,0.05354294095575901,1.6132240295410156,0.06376041989286955,0.1,5,sigmoid,"{'C': 0.1, 'degree': 5, 'kernel': 'sigmoid'}",-0.18819353648395004,-0.18550689114933058,-0.19302128578812217,-0.18890723780713425,0.003108971843006527,33
12,2.569563865661621,0.48914601510479155,0.5281340281168619,0.03329757798177992,1,2,poly,"{'C': 1, 'degree': 2, 'kernel': 'poly'}",-0.14530699289137267,-0.14582112376949186,-0.1503502977362765,-0.14715947146571368,0.002265996742663785,26
13,2.0359174410502114,0.17922334373758142,1.28107754389445,0.025079872171820346,1,2,rbf,"{'C': 1, 'degree': 2, 'kernel': 'rbf'}",-0.1432412623861891,-0.1420723163821952,-0.14751471993552068,-0.1442760995679683,0.002339245619696949,22
14,3.499573230743408,0.0765552206254733,1.421595811843872,0.05314885980554624,1,2,sigmoid,"{'C': 1, 'degree': 2, 'kernel': 'sigmoid'}",-1.1751193762094054,-1.2345278387106884,-1.2216535058285172,-1.2104335735828704,0.025518052614953008,37
15,2.9481991132100425,0.09131966581565162,0.4493838946024577,0.013803675940754524,1,3,poly,"{'C': 1, 'degree': 3, 'kernel': 'poly'}",-0.14053463906138702,-0.13938579017164512,-0.1463326899707956,-0.1420843730679426,0.003040406861278633,9
16,2.014249006907145,0.12235452771657022,1.3202255566914876,0.09036527541522266,1,3,rbf,"{'C': 1, 'degree': 3, 'kernel': 'rbf'}",-0.1432412623861891,-0.1420723163821952,-0.14751471993552068,-0.1442760995679683,0.002339245619696949,22
17,3.5330632527669272,0.06728990266115993,1.4392118453979492,0.06722198237283433,1,3,sigmoid,"{'C': 1, 'degree': 3, 'kernel': 'sigmoid'}",-1.1751193762094054,-1.2345278387106884,-1.2216535058285172,-1.2104335735828704,0.025518052614953008,37
18,5.313635190327962,0.8790658696924971,0.7033198674519857,0.04421857841687415,1,4,poly,"{'C': 1, 'degree': 4, 'kernel': 'poly'}",-0.14029411953181,-0.1407299881419252,-0.14712992474727582,-0.14271801080700366,0.00312476493234256,13
19,3.5349032084147134,0.6297919843810851,2.338470776875814,0.4357172237152486,1,4,rbf,"{'C': 1, 'degree': 4, 'kernel': 'rbf'}",-0.1432412623861891,-0.1420723163821952,-0.14751471993552068,-0.1442760995679683,0.002339245619696949,22
